Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,0.17,2.15,1.57,1.62,1.0,1.73,2.72,2.53,2.26,2.76,1.86,2.21,2.0,2.14,2.37,0.3,1.78,2.91,1.52,0.94,1.91,1.13,1.43,1.6,2.27,1.95,0.72,3.4,6.8,3.88
Central Europe and the Baltics,35.92,27.95,19.79,8.88,8.21,4.02,8.91,5.75,3.13,2.35,3.59,3.32,3.93,4.84,6.36,2.75,1.8,4.13,3.33,1.44,0.05,-0.46,-0.05,2.08,2.53,2.66,1.67,3.84,14.61,9.44
Switzerland,0.85,1.8,0.81,0.52,0.02,0.81,1.56,0.99,0.64,0.64,0.8,1.17,1.06,0.73,2.43,-0.48,0.69,0.23,-0.69,-0.22,-0.01,-1.14,-0.43,0.53,0.94,0.36,-0.73,0.58,2.84,2.14
Chile,11.44,8.23,7.36,6.13,5.11,3.34,3.84,3.57,2.49,2.81,1.05,3.05,3.39,4.41,8.72,0.35,1.41,3.34,3.01,1.79,4.72,4.35,3.79,2.18,2.43,2.56,3.05,4.52,11.64,7.58
China,24.26,16.79,8.31,2.79,-0.77,-1.4,0.35,0.72,-0.73,1.13,3.82,1.78,1.65,4.82,5.93,-0.73,3.18,5.55,2.62,2.62,1.92,1.44,2.0,1.59,2.07,2.9,2.42,0.98,1.97,0.23
Cote d'Ivoire,26.08,14.3,2.48,4.02,4.61,0.7,2.53,4.36,3.08,3.3,1.46,3.89,2.47,1.89,6.31,1.02,1.23,4.91,1.3,2.58,0.45,1.25,0.72,0.69,0.36,-1.11,2.43,4.09,5.28,4.39
Cameroon,35.09,9.07,3.92,4.79,3.17,1.87,1.23,4.42,2.83,0.62,0.23,2.01,5.12,0.92,5.34,3.04,1.28,2.94,2.74,2.05,1.85,2.68,0.87,0.64,1.07,2.45,2.44,2.27,6.25,7.38
Colombia,22.85,20.89,20.8,18.47,18.68,10.87,9.23,7.97,6.35,7.13,5.9,5.05,4.29,5.54,7.0,4.2,2.27,3.42,3.17,2.02,2.9,4.99,7.51,4.31,3.24,3.52,2.53,3.5,10.18,11.74
Cabo Verde,3.45,8.35,5.96,8.56,4.39,4.36,-2.48,3.35,1.88,1.19,-1.89,0.42,5.37,4.41,6.77,0.99,2.08,4.47,2.54,1.51,-0.24,0.13,-1.41,0.78,1.26,1.11,0.61,1.86,7.93,3.72
Costa Rica,13.53,23.19,17.51,13.25,11.66,10.05,10.96,11.26,9.17,9.45,12.31,13.8,11.47,9.36,13.42,7.84,5.66,4.88,4.5,5.23,4.52,0.8,-0.02,1.63,2.22,2.1,0.72,1.73,8.27,0.53
Caribbean small states,1.44,2.48,2.06,1.84,2.17,1.56,2.18,2.58,2.04,2.15,2.31,3.48,2.74,3.86,6.39,0.01,3.25,3.2,2.41,1.06,1.09,-0.86,0.14,1.52,1.25,1.17,-0.29,2.24,6.2,4.23
Cyprus,4.7,2.62,2.98,3.61,2.23,1.63,4.14,1.97,2.8,4.14,2.29,2.56,2.3,2.37,4.67,0.33,2.43,3.29,2.39,-0.4,-1.35,-2.1,-1.43,0.53,1.44,0.25,-0.64,2.45,8.4,3.54
Czechia,10.04,8.99,8.76,8.6,10.7,2.14,3.78,4.66,1.9,0.12,2.76,1.86,2.53,2.85,6.36,1.02,1.47,1.92,3.29,1.44,0.34,0.31,0.68,2.45,2.15,2.85,3.16,3.84,15.1,10.66
Germany,2.69,1.71,1.45,1.94,0.91,0.59,1.44,1.98,1.42,1.03,1.67,1.55,1.58,2.3,2.63,0.31,1.1,2.08,2.01,1.5,0.91,0.51,0.49,1.51,1.73,1.45,0.14,3.07,6.87,5.95
Dominica,0.02,1.32,1.68,2.44,1.0,1.18,0.86,1.3,0.17,1.45,2.39,1.68,2.2,3.63,6.36,0.01,3.0,1.13,1.36,-0.05,0.8,-0.84,0.14,0.3,0.99,1.5,-0.73,1.48,7.78,4.23
Denmark,1.99,2.08,2.13,2.18,1.85,2.5,2.9,2.34,2.42,2.08,1.15,1.82,1.92,1.69,3.42,1.3,2.31,2.76,2.4,0.79,0.56,0.45,0.25,1.15,0.81,0.76,0.42,1.85,7.7,3.31
Dominican Republic,8.26,12.54,5.4,8.3,4.83,6.47,7.72,8.88,5.22,27.45,51.46,4.19,7.57,6.14,10.64,1.44,6.33,5.8,3.69,4.83,3.0,0.84,1.61,3.28,3.56,1.81,3.78,8.24,8.81,4.79
Algeria,29.05,29.78,18.68,5.73,4.95,2.65,0.34,4.23,1.42,4.27,3.96,1.38,2.31,3.68,4.86,5.74,3.91,4.52,8.89,3.25,2.92,4.78,6.4,5.59,4.27,1.95,2.42,7.23,9.27,9.32
East Asia & Pacific (excluding high income),7.66,5.82,7.31,5.61,8.61,4.29,2.16,4.27,2.72,3.7,4.43,5.53,4.87,4.82,10.23,4.22,3.69,5.3,3.03,2.91,3.14,1.22,1.92,2.91,3.2,1.94,2.41,2.7,5.46,3.67
Early-demographic dividend,9.59,10.02,8.52,7.02,6.42,5.02,3.9,3.75,4.24,5.45,4.44,4.82,5.69,6.18,10.45,4.37,4.4,5.81,5.02,4.83,4.07,3.13,3.52,3.6,3.96,2.76,2.95,4.04,7.12,5.76
East Asia & Pacific,5.65,4.63,5.52,3.73,5.49,1.98,1.59,3.58,1.89,2.29,3.24,3.04,3.94,3.76,8.34,1.62,3.06,5.02,2.97,2.58,2.51,0.8,1.28,1.8,2.31,1.7,0.85,2.48,5.41,3.63
Europe & Central Asia (excluding high income),891.19,162.72,35.56,16.67,9.56,20.94,15.94,8.35,5.59,4.95,6.92,7.88,7.66,8.59,11.43,3.44,6.78,7.86,3.32,4.6,3.07,4.03,2.13,4.6,2.57,2.64,2.75,6.92,13.89,8.79
Europe & Central Asia,12.14,8.96,8.19,5.54,4.64,2.36,3.78,4.26,2.79,2.35,2.83,2.61,3.19,2.92,6.06,1.54,2.42,3.86,2.77,1.73,0.62,0.37,0.39,1.92,2.03,1.78,1.2,3.23,11.11,7.45
Ecuador,27.31,22.93,24.41,30.66,36.1,52.24,96.1,37.68,12.48,7.93,2.74,2.17,3.3,2.28,8.4,5.16,3.55,4.47,5.1,2.72,3.59,3.97,1.73,0.42,-0.22,0.27,-0.34,0.13,3.47,2.22
"Egypt, Arab Rep.",8.15,15.74,7.19,4.63,3.87,3.08,2.68,2.27,2.74,4.51,11.27,4.87,7.64,9.32,18.32,11.76,11.27,10.06,7.11,9.47,10.07,10.37,13.81,29.51,14.4,9.15,5.04,5.21,13.9,33.88
Euro area,4.41,4.09,3.02,2.22,2.31,1.9,2.95,2.86,2.33,2.1,2.22,2.52,2.72,2.48,4.11,0.44,1.52,3.29,2.54,1.31,0.22,-0.09,0.17,1.38,1.69,1.44,0.19,2.49,8.47,5.78
Spain,4.72,4.67,3.56,1.97,1.83,2.31,3.43,3.59,3.07,3.04,3.04,3.37,3.52,2.79,4.08,-0.29,1.8,3.2,2.45,1.41,-0.15,-0.5,-0.2,1.96,1.67,0.7,-0.32,3.09,8.39,3.53
Estonia,47.65,28.78,23.05,10.58,8.21,3.3,4.02,5.75,3.57,1.33,3.05,4.08,4.44,6.6,10.36,-0.08,2.97,4.98,3.93,2.78,-0.11,-0.49,0.15,3.42,3.44,2.28,-0.44,4.65,19.4,9.16
Ethiopia,7.59,10.02,-8.48,2.4,0.89,7.94,0.66,-8.24,0.68,13.67,3.33,9.97,12.3,17.24,44.36,8.48,8.15,33.25,23.6,7.46,6.89,9.57,6.63,10.69,13.83,15.81,20.36,26.84,33.89,30.22
European Union,4.72,4.43,3.56,3.11,2.41,2.16,3.15,3.37,2.42,2.09,2.29,2.49,2.67,2.51,4.16,0.84,1.53,3.29,2.66,1.22,0.2,-0.06,0.18,1.43,1.74,1.63,0.48,2.55,8.83,6.3
Fragile and conflict affected situations,30.14,18.24,11.48,7.09,5.98,4.84,3.82,5.37,4.71,5.49,3.28,7.29,6.74,4.62,11.58,4.08,3.48,5.44,5.91,4.26,2.33,2.68,3.19,4.18,2.97,2.45,2.82,4.09,8.2,6.51
