Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,579.94,605.96,630.61,654.99,634.0,678.41,744.77,738.98,760.65,895.54,1026.69,1173.11,1319.26,1468.82,1552.99,1374.63,1617.34,1793.33,1828.37,1846.6,1805.75,1556.51,1527.99,1649.27,1725.33,1743.73,1655.68,2007.47,2161.48,2142.47
Central Europe and the Baltics,308.52,394.61,417.34,411.04,449.77,435.93,429.36,469.45,528.5,634.39,763.6,885.83,1001.43,1264.33,1530.37,1289.53,1319.8,1458.46,1362.24,1420.3,1467.44,1297.12,1321.23,1467.42,1657.63,1685.12,1678.76,1926.8,1955.93,2267.76
Switzerland,301.38,352.84,340.1,294.79,303.46,297.87,279.22,286.58,309.3,362.08,403.91,418.28,441.63,490.74,567.27,554.21,598.85,715.89,686.42,706.23,726.54,694.12,687.9,695.2,725.57,721.37,742.0,813.41,818.43,884.94
Chile,57.0,73.44,78.58,85.74,81.99,75.58,78.34,71.57,70.26,76.49,99.08,122.29,153.84,172.49,179.89,171.78,217.05,251.38,267.02,277.4,259.56,242.45,249.34,276.15,295.86,278.29,254.04,315.52,302.12,335.53
China,564.32,734.48,863.75,961.6,1029.06,1094.0,1211.33,1339.4,1470.56,1660.28,1955.35,2285.96,2752.12,3550.33,4594.34,5101.69,6087.19,7551.55,8532.19,9570.47,10475.62,11061.57,11233.31,12310.49,13894.91,14279.97,14687.74,17820.46,17881.78,17794.78
Cote d'Ivoire,8.31,11.0,18.07,18.05,19.62,18.87,16.58,16.81,18.05,21.25,23.51,24.04,25.28,28.76,34.08,33.89,34.94,36.69,36.3,42.76,48.84,45.82,48.41,52.51,58.52,60.38,63.03,72.79,70.17,78.88
Cameroon,8.9,10.86,11.09,10.79,11.3,11.57,10.57,10.95,12.42,15.97,18.83,19.51,20.91,23.93,27.72,27.93,27.51,30.63,30.16,33.73,36.39,32.21,33.81,36.1,39.96,39.67,40.77,45.01,44.35,49.28
Colombia,81.71,92.5,97.15,106.66,98.49,86.28,99.88,98.2,97.95,94.64,117.09,145.6,161.79,206.23,242.5,232.47,286.5,334.97,370.69,382.09,381.24,293.49,282.72,311.87,334.2,323.03,270.35,318.52,345.33,363.49
Cabo Verde,0.41,0.49,0.5,0.49,0.52,0.59,0.54,0.56,0.62,0.81,0.92,0.97,1.11,1.65,1.96,1.85,1.82,2.05,1.91,2.03,2.04,1.75,1.85,2.0,2.21,2.25,1.82,2.05,2.25,2.53
Costa Rica,10.49,11.58,11.68,12.61,13.68,14.25,15.01,15.98,16.58,17.27,18.61,20.04,22.72,26.88,30.8,30.75,37.66,42.76,47.23,50.95,52.02,56.44,58.85,60.52,62.42,64.42,62.4,64.96,69.24,86.5
Caribbean small states,9.84,10.4,11.18,14.34,15.6,16.59,17.47,17.64,18.69,19.25,20.29,22.22,25.93,28.08,29.4,28.72,30.38,31.03,32.71,33.07,34.13,35.09,33.93,35.44,36.73,38.05,31.76,37.09,48.74,53.3
Cyprus,7.43,9.93,10.01,9.55,10.25,10.5,9.99,10.4,11.42,14.55,17.32,18.43,20.07,23.97,27.84,26.05,25.8,27.64,25.05,23.96,23.23,19.91,21.05,22.95,25.75,26.2,25.56,30.37,30.98,33.89
Czechia,48.19,60.57,67.8,62.54,67.19,65.59,62.18,68.14,82.61,100.44,120.15,137.26,156.24,190.04,236.51,206.97,211.17,231.43,210.36,213.02,210.91,189.11,198.16,221.56,251.99,256.79,251.11,290.97,301.83,343.21
Germany,2215.28,2593.05,2506.58,2218.79,2247.76,2213.87,1966.98,1966.38,2102.35,2534.72,2852.32,2893.39,3046.31,3484.06,3808.79,3479.8,3468.15,3824.83,3597.9,3808.09,3965.8,3423.57,3537.78,3763.09,4052.01,3957.21,3940.14,4348.3,4163.6,4525.7
Dominica,0.26,0.27,0.29,0.3,0.32,0.33,0.33,0.34,0.33,0.34,0.37,0.36,0.39,0.42,0.46,0.49,0.49,0.5,0.49,0.5,0.52,0.54,0.58,0.52,0.55,0.61,0.5,0.56,0.61,0.65
Denmark,156.02,184.85,187.48,173.24,176.88,177.89,164.04,164.88,178.79,218.42,251.99,265.15,283.39,320.21,354.98,322.62,322.35,344.32,326.79,344.63,352.83,301.76,312.18,331.61,355.29,345.4,355.63,408.38,401.95,407.09
Dominican Republic,14.64,16.64,18.24,20.02,21.67,22.14,24.31,25.6,27.14,21.4,22.32,35.78,37.88,43.97,48.12,48.26,53.86,58.03,60.68,62.68,67.18,71.16,75.7,80.0,85.56,88.94,78.84,94.24,113.54,121.44
Algeria,42.54,41.76,46.94,48.18,48.19,48.64,54.79,59.41,61.52,73.48,91.91,107.05,123.08,142.48,180.38,150.32,177.79,218.33,227.14,229.7,238.94,187.49,180.76,189.88,194.55,193.46,164.87,186.23,225.64,247.63
East Asia & Pacific (excluding high income),1071.87,1322.03,1518.33,1570.61,1433.2,1577.92,1736.18,1847.28,2044.58,2314.25,2683.48,3108.47,3743.85,4733.26,5988.92,6493.36,7903.11,9653.9,10763.69,11874.65,12805.53,13329.36,13621.11,14888.27,16648.93,17222.81,17496.31,20849.86,21124.95,21162.84
Early-demographic dividend,2502.48,2551.93,2767.6,2955.98,2921.2,3090.35,3377.6,3351.04,3255.02,3621.67,4208.36,4895.44,5597.7,6626.61,7456.25,7173.66,8713.51,9822.75,10268.57,10421.36,10776.38,10246.6,10547.19,11448.64,11610.51,11834.96,11006.44,12811.3,14147.62,14945.9
East Asia & Pacific,7406.77,8410.57,8104.05,7746.41,6933.22,7745.11,8377.97,7790.17,7913.47,8703.21,9759.73,10413.11,11037.06,12333.83,14223.51,14633.92,17080.57,19800.05,21177.84,21415.69,22094.71,22000.92,22781.79,24334.96,26494.51,27040.14,27163.49,31155.72,30673.44,30780.18
Europe & Central Asia (excluding high income),268.77,307.71,326.48,346.37,421.24,384.14,390.7,335.07,389.84,497.11,639.83,796.7,926.8,1167.2,1397.09,1164.93,1379.35,1568.79,1654.3,1804.35,1731.77,1509.29,1448.93,1494.52,1468.18,1498.31,1437.14,1670.34,1817.98,2129.7
Europe & Central Asia,9408.47,10871.04,11095.96,10524.2,10795.11,10686.91,10077.57,10181.97,11150.95,13559.25,15805.05,16824.45,18222.78,21289.54,23432.97,20628.51,21103.19,23416.51,22545.18,23559.07,23897.45,20583.24,20511.32,21765.86,23306.31,23031.89,22286.62,25523.99,25662.57,27554.07
Ecuador,22.71,24.43,25.23,28.16,27.98,19.65,17.54,23.13,27.05,30.97,35.19,40.28,45.69,49.85,61.14,60.09,68.15,78.99,87.74,96.57,102.72,97.21,97.67,104.47,107.48,107.6,95.87,107.44,116.59,118.84
"Egypt, Arab Rep.",51.9,60.16,67.63,78.44,84.83,90.71,99.84,96.68,85.15,80.29,78.78,89.6,107.43,130.44,162.82,189.15,218.98,235.99,279.12,288.43,305.6,329.37,332.44,248.36,262.59,318.68,383.82,424.67,476.75,396.0
Euro area,6531.16,7540.04,7629.5,6977.67,7174.36,7148.86,6528.63,6631.9,7241.86,8921.23,10231.01,10611.83,11288.31,13000.32,14296.31,13084.34,12786.06,13810.19,12786.71,13358.73,13683.29,11828.6,12124.59,12839.88,13867.95,13587.02,13266.86,14917.74,14452.05,15780.69
Spain,530.18,614.17,642.25,589.74,618.73,634.39,598.1,627.8,708.94,907.96,1069.83,1154.67,1261.85,1476.75,1636.12,1496.59,1427.99,1487.57,1330.99,1362.19,1380.24,1206.16,1243.02,1321.75,1431.64,1403.5,1289.78,1461.24,1446.5,1620.09
Estonia,4.12,4.5,4.79,5.15,5.67,5.76,5.69,6.25,7.37,9.88,12.15,14.11,17.03,22.45,24.34,19.63,19.52,23.3,23.24,25.45,27.06,23.31,24.56,27.47,31.22,31.87,31.82,37.2,38.38,41.29
Ethiopia,7.1,7.86,8.76,8.8,8.01,7.89,8.24,8.23,7.85,8.62,10.13,12.4,15.28,19.71,27.07,32.44,29.93,31.95,43.31,47.65,55.61,64.59,74.3,81.77,84.27,95.91,107.66,111.26,126.77,163.7
European Union,7157.76,8298.2,8433.44,7735.79,7970.03,7936.01,7288.43,7407.57,8100.4,9956.96,11449.21,11954.46,12768.48,14789.55,16365.15,14846.34,14643.44,15876.63,14733.98,15400.03,15764.81,13655.09,13990.27,14870.07,16091.49,15808.4,15504.7,17496.55,16995.33,18590.72
Fragile and conflict affected situations,353.24,431.76,466.44,522.33,536.1,400.17,468.04,458.02,446.93,470.62,596.97,755.16,945.96,1159.33,1481.95,1342.73,1593.98,1664.32,1862.14,1934.77,2052.98,1616.33,1489.69,1588.84,1734.69,1842.63,1675.41,1786.33,1964.84,1937.94
Finland,103.18,134.06,131.99,126.86,133.99,135.23,125.97,129.52,140.36,171.61,197.46,204.86,217.04,256.36,285.7,253.48,249.43,275.13,257.44,270.27,273.48,233.21,238.78,253.85,273.87,267.01,270.0,294.22,280.24,295.53
Fiji,1.83,1.97,2.13,2.09,1.65,1.94,1.68,1.65,1.83,2.3,2.71,2.98,3.08,3.38,3.52,2.87,3.14,3.78,3.97,4.19,4.86,4.68,4.93,5.35,5.58,5.44,4.43,4.31,4.97,5.44
France,1385.82,1595.22,1598.89,1449.39,1496.91,1486.92,1360.96,1370.38,1492.43,1835.1,2109.79,2192.15,2317.86,2655.82,2926.8,2700.08,2646.23,2870.41,2683.01,2816.08,2861.24,2442.48,2470.41,2588.87,2781.58,2722.79,2647.93,2966.43,2796.3,3051.83
Gabon,4.19,4.96,5.69,5.33,4.48,4.66,5.08,5.02,5.34,6.51,7.77,9.58,10.33,12.46,15.57,12.11,14.37,18.21,17.17,17.6,18.2,14.38,14.02,14.93,16.87,16.87,15.34,19.44,20.44,19.39
United Kingdom,1140.49,1344.24,1419.65,1560.91,1653.69,1687.83,1665.53,1649.83,1785.73,2054.42,2421.53,2543.18,2708.44,3090.51,2929.41,2412.84,2485.48,2663.81,2707.09,2784.85,3064.71,2927.91,2689.11,2680.15,2871.34,2851.41,2696.78,3143.32,3114.04,3380.85
Ghana,5.45,6.46,6.93,6.89,7.48,7.72,4.98,5.31,6.17,7.63,8.88,10.74,20.89,24.83,28.68,26.05,32.2,39.34,41.27,62.82,54.78,49.41,56.16,60.41,67.3,68.34,70.04,79.52,74.26,76.37
"Gambia, The",0.75,0.79,0.85,0.8,0.84,0.81,0.78,0.69,0.58,0.49,0.96,1.03,1.05,1.28,1.56,1.45,1.54,1.41,1.42,1.38,1.23,1.38,1.48,1.5,1.67,1.81,1.81,2.01,2.2,2.4
Greece,114.98,134.97,142.5,138.77,139.61,137.13,125.76,132.05,150.25,196.93,234.98,242.32,269.07,314.23,351.12,326.83,296.42,283.23,238.84,236.56,233.91,194.57,193.1,200.38,213.3,207.31,191.36,218.3,218.88,243.5
Grenada,0.33,0.34,0.37,0.39,0.45,0.48,0.52,0.52,0.54,0.59,0.6,0.7,0.7,0.76,0.83,0.77,0.77,0.78,0.8,0.84,0.91,1.0,1.06,1.13,1.17,1.21,1.04,1.12,1.22,1.32
High income,23825.29,26437.21,26649.65,26214.4,26177.39,27417.63,28051.79,27827.87,29042.56,32602.87,36421.52,38673.19,41048.11,45167.42,48417.87,45032.42,47429.08,51637.66,51803.55,52545.7,53424.93,49875.5,50840.86,53443.17,56793.96,57351.01,55946.26,62737.89,64961.26,68276.49
"Hong Kong SAR, China",135.81,144.65,159.72,177.35,168.89,165.77,171.67,169.4,166.35,161.39,169.1,181.57,193.54,211.6,219.28,214.05,228.64,248.51,262.63,275.7,291.46,309.39,320.86,341.27,361.73,363.07,344.94,368.95,358.68,380.81
Honduras,4.64,5.35,5.22,5.74,6.37,6.41,7.19,7.65,7.86,8.23,8.87,9.76,10.92,12.36,13.88,14.59,15.84,17.71,18.53,18.5,19.76,20.98,21.72,23.14,24.07,24.88,23.35,28.14,31.43,34.4
Heavily indebted poor countries (HIPC),121.49,141.42,154.14,161.38,166.85,167.81,181.38,175.23,190.15,215.72,248.55,284.76,334.03,398.67,473.75,470.14,510.52,565.72,586.35,657.86,696.37,668.87,675.92,726.23,776.51,805.12,813.14,905.8,983.6,1129.95
Croatia,15.06,22.77,24.15,24.18,25.89,23.78,22.13,23.07,26.76,35.25,41.84,45.01,49.59,59.3,68.48,62.32,58.98,62.9,57.55,59.85,59.61,51.01,52.65,56.19,61.67,61.47,57.96,69.01,71.2,84.39
Haiti,2.17,2.81,2.91,3.34,3.72,4.15,6.81,6.33,6.21,5.07,6.09,7.03,7.64,9.23,10.43,11.6,11.86,13.01,13.71,14.9,15.15,14.85,14.07,15.09,16.4,15.02,14.51,20.88,20.25,19.85
Hungary,43.17,46.43,46.66,47.3,48.71,49.07,47.22,53.75,67.61,85.29,104.12,113.21,115.72,140.19,158.33,131.07,132.18,141.94,128.81,135.68,141.03,125.17,128.61,143.11,160.57,164.02,157.29,182.11,177.01,212.39
IBRD only,4334.03,4917.85,5370.41,5694.93,5541.88,5398.38,5873.15,5955.4,6043.8,6787.01,8083.58,9656.47,11452.61,14221.55,17055.68,16539.48,20113.64,23813.1,25306.39,26702.76,27596.84,25841.08,26032.66,28752.3,30653.93,31298.75,30114.87,35763.96,37711.99,38789.3
IDA & IBRD total,4729.84,5398.6,5923.94,6274.58,6144.91,5850.21,6391.42,6467.97,6596.11,7410.04,8812.16,10501.89,12462.34,15406.79,18467.34,17918.12,21703.54,25609.76,27201.46,28764.54,29817.42,28002.74,28185.63,31021.02,33059.07,33801.02,32566.02,38431.27,40596.81,41669.01
IDA total,396.48,482.02,555.47,581.57,605.66,451.74,518.69,512.83,553.0,623.83,729.36,846.03,1010.54,1185.34,1411.65,1378.65,1589.91,1796.66,1895.07,2061.79,2220.59,2160.36,2151.88,2268.54,2405.08,2501.78,2450.27,2668.55,2885.45,2880.51
