Country Name,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Canada,10.4,9.49,9.62,9.1,8.28,7.58,6.83,7.22,7.66,7.57,7.18,6.76,6.48,6.16,6.28,8.46,8.18,7.64,7.39,7.14,7.02,6.94,7.04,6.43,5.84,5.69,9.66,7.53,5.28,5.42
Central Europe and the Baltics,11.56,11.02,10.37,9.46,9.19,10.62,12.17,13.51,13.96,13.26,12.88,12.03,10.12,7.81,6.6,8.52,9.93,9.81,10.01,10.08,8.88,7.82,6.48,5.28,4.31,3.77,4.36,4.46,3.98,4.01
Switzerland,3.58,3.09,3.68,4.13,3.57,3.05,2.66,2.49,2.92,4.12,4.32,4.44,4.0,3.64,3.35,4.11,4.81,4.41,4.49,4.75,4.83,4.8,4.92,4.8,4.71,4.39,4.82,5.01,4.12,4.04
Chile,5.87,4.7,7.41,7.14,7.31,11.16,10.49,10.39,10.17,9.76,10.16,9.34,9.02,8.43,9.28,11.31,8.28,7.28,6.56,6.07,6.48,6.31,6.67,7.26,7.62,7.49,10.93,9.28,8.25,9.01
China,2.9,3.0,3.12,3.23,3.24,3.25,3.26,3.8,4.24,4.58,4.49,4.52,4.43,4.35,4.59,4.72,4.53,4.55,4.58,4.6,4.63,4.65,4.56,4.47,4.31,4.56,5.0,4.55,4.98,4.67
Cote d'Ivoire,5.04,4.1,4.04,3.97,4.1,4.42,4.82,5.17,5.47,5.8,5.88,6.0,6.01,6.27,6.38,6.57,6.62,7.14,7.22,4.26,3.28,2.58,1.9,3.27,2.85,2.4,2.58,2.63,2.31,2.27
Cameroon,8.83,8.57,8.06,7.86,7.7,7.6,7.54,7.46,6.71,5.91,5.09,4.4,3.73,3.06,3.39,3.74,4.11,3.99,3.84,3.68,3.53,3.52,3.53,3.57,3.6,3.62,3.87,3.97,3.65,3.61
Colombia,8.25,8.72,11.81,12.14,15.0,20.06,20.52,15.04,14.48,13.22,13.72,11.06,11.09,11.2,11.27,12.07,11.15,10.29,9.96,9.25,8.8,8.57,8.92,9.09,9.36,10.28,15.98,13.9,10.55,9.59
Cabo Verde,13.02,12.97,12.93,13.08,13.12,13.13,13.09,13.28,13.4,13.59,13.46,13.45,13.4,13.32,13.34,13.52,10.67,10.95,11.14,11.39,11.67,11.91,12.08,12.24,12.17,12.13,14.69,13.98,12.25,11.97
Costa Rica,4.05,5.18,6.16,5.68,5.33,5.9,5.08,6.05,6.4,6.65,6.44,6.75,5.93,4.56,4.93,7.82,7.17,9.52,9.11,8.22,8.5,8.41,8.09,7.73,9.01,10.81,16.43,15.14,11.32,8.32
Caribbean small states,14.72,13.07,12.91,12.73,12.3,12.11,11.53,11.39,11.91,12.23,11.6,11.29,10.25,9.88,9.9,11.58,11.66,11.98,12.1,12.48,12.17,11.51,11.45,10.87,11.05,10.63,12.93,12.19,10.47,9.68
Cyprus,2.7,2.6,3.1,3.4,3.3,5.53,4.77,4.04,3.34,4.15,4.77,5.48,4.59,3.95,3.76,5.59,6.36,7.94,12.1,16.13,16.28,15.03,13.01,11.16,8.5,7.16,7.76,7.51,6.81,6.1
Czechia,4.28,4.08,3.85,4.67,6.46,8.7,8.76,8.13,7.28,7.78,8.3,7.93,7.14,5.32,4.39,6.66,7.28,6.71,6.98,6.95,6.11,5.05,3.95,2.89,2.25,2.02,2.55,2.8,2.22,2.58
Germany,8.73,8.16,8.82,9.86,9.79,8.85,7.92,7.77,8.48,9.78,10.73,11.19,10.28,8.73,7.51,7.88,7.04,5.97,5.37,5.32,4.98,4.61,4.1,3.78,3.38,3.16,3.88,3.59,3.12,3.07
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,8.04,6.99,6.84,5.4,5.04,5.14,4.48,4.16,4.27,5.4,5.2,4.83,3.9,3.8,3.68,6.41,7.75,7.77,7.8,7.38,6.92,6.28,5.99,5.83,5.13,5.02,5.64,5.04,4.43,5.09
Dominican Republic,6.29,6.45,6.5,6.32,6.3,6.31,6.43,7.26,6.78,6.94,6.3,6.59,5.65,5.16,4.76,5.47,5.21,6.09,6.72,7.35,6.72,7.6,7.28,5.83,5.86,6.36,6.13,7.7,5.5,5.56
Algeria,27.74,31.84,28.31,25.43,26.85,28.55,29.77,27.3,25.9,23.72,17.65,15.27,12.27,13.79,11.33,10.16,9.96,9.96,10.97,9.82,10.21,11.21,10.2,12.0,12.14,12.26,14.06,13.63,12.35,11.7
East Asia & Pacific (excluding high income),2.92,3.01,3.11,3.2,3.37,3.47,3.42,3.85,4.16,4.41,4.4,4.48,4.37,4.35,4.43,4.42,4.16,4.11,4.04,4.05,4.04,4.12,4.03,3.91,3.8,3.89,4.36,4.12,4.22,3.97
Early-demographic dividend,6.81,7.08,6.92,6.81,6.92,7.11,7.11,7.2,7.45,7.34,7.22,7.13,6.91,6.84,6.8,6.92,6.73,6.64,6.74,6.72,6.65,6.82,6.76,6.75,6.8,6.33,7.41,6.79,5.71,5.26
East Asia & Pacific,2.97,3.04,3.16,3.25,3.54,3.65,3.55,3.96,4.26,4.47,4.42,4.47,4.34,4.29,4.37,4.47,4.22,4.12,4.05,4.04,4.02,4.08,4.0,3.87,3.74,3.81,4.29,4.05,4.09,3.86
Europe & Central Asia (excluding high income),7.13,8.55,9.94,10.11,11.01,11.39,10.75,10.64,10.69,10.28,10.11,9.57,9.08,8.55,8.55,10.19,9.56,8.92,8.64,8.61,9.01,9.01,9.09,8.99,8.66,9.16,9.32,9.01,7.82,7.33
